IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
23.225.133.71,41698,443,true,HKG,Asia Pacific,Hong Kong,63,0.27
132.145.124.198,2095,2095,false,HKG,Asia Pacific,Hong Kong,182,0.26
223.122.60.249,13903,443,true,HKG,Asia Pacific,Hong Kong,79,0.25
45.205.3.100,54236,443,true,HKG,Asia Pacific,Hong Kong,67,0.25
192.151.255.26,41698,443,true,HKG,Asia Pacific,Hong Kong,64,0.24
94.74.100.2,13080,80,false,HKG,Asia Pacific,Hong Kong,60,0.24
23.225.133.70,41698,443,true,HKG,Asia Pacific,Hong Kong,57,0.22
23.225.133.74,41698,443,true,HKG,Asia Pacific,Hong Kong,58,0.22
23.225.133.67,41698,443,true,HKG,Asia Pacific,Hong Kong,62,0.21
193.134.210.61,34237,2096,true,HKG,Asia Pacific,Hong Kong,96,0.19
192.151.255.19,41698,80,false,HKG,Asia Pacific,Hong Kong,62,0.16
103.20.223.171,37811,443,true,HKG,Asia Pacific,Hong Kong,69,0.15
192.151.255.30,41698,80,false,HKG,Asia Pacific,Hong Kong,57,0.15
192.151.255.21,41698,443,true,HKG,Asia Pacific,Hong Kong,61,0.15
18.162.177.90,2053,443,true,HKG,Asia Pacific,Hong Kong,130,0.13
192.151.255.13,41698,80,false,HKG,Asia Pacific,Hong Kong,61,0.13
23.225.133.93,41698,80,false,HKG,Asia Pacific,Hong Kong,62,0.13
192.151.255.24,41698,80,false,HKG,Asia Pacific,Hong Kong,56,0.13
192.151.255.4,41698,80,false,HKG,Asia Pacific,Hong Kong,57,0.11
47.76.77.103,2082,2082,false,HKG,Asia Pacific,Hong Kong,62,0.11
192.151.255.0,41698,80,false,HKG,Asia Pacific,Hong Kong,63,0.11
23.225.133.68,41698,80,false,HKG,Asia Pacific,Hong Kong,65,0.10
192.151.255.17,41698,80,false,HKG,Asia Pacific,Hong Kong,59,0.09
192.151.255.16,41698,80,false,HKG,Asia Pacific,Hong Kong,61,0.09
23.225.133.88,41698,80,false,HKG,Asia Pacific,Hong Kong,61,0.08
23.225.133.90,41698,80,false,HKG,Asia Pacific,Hong Kong,57,0.08
192.151.255.10,41698,80,false,HKG,Asia Pacific,Hong Kong,57,0.08
103.20.223.245,47369,443,true,HKG,Asia Pacific,Hong Kong,72,0.07
23.225.133.75,41698,443,true,HKG,Asia Pacific,Hong Kong,60,0.06
103.74.192.45,34401,443,true,HKG,Asia Pacific,Hong Kong,97,0.05
192.151.255.5,41698,80,false,HKG,Asia Pacific,Hong Kong,59,0.05
