IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.165.25,2095,2095,false,SIN,Asia Pacific,Singapore,95,2.81
8.219.153.44,2095,2095,false,SIN,Asia Pacific,Singapore,96,2.81
47.236.121.23,2095,2095,false,SIN,Asia Pacific,Singapore,99,2.79
8.222.214.231,8443,8443,true,SIN,Asia Pacific,Singapore,95,2.79
47.236.96.141,2052,2052,false,SIN,Asia Pacific,Singapore,98,2.78
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,149,2.78
8.219.98.13,2087,2087,true,SIN,Asia Pacific,Singapore,102,2.77
8.222.229.22,2096,2096,true,SIN,Asia Pacific,Singapore,112,2.77
47.236.174.206,8880,8880,false,SIN,Asia Pacific,Singapore,98,2.76
47.236.150.13,2083,2083,true,SIN,Asia Pacific,Singapore,101,2.75
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,96,2.74
8.222.188.56,2086,2086,false,SIN,Asia Pacific,Singapore,151,2.73
8.219.58.64,2096,2096,true,SIN,Asia Pacific,Singapore,104,2.72
47.236.7.246,2086,2086,false,SIN,Asia Pacific,Singapore,94,2.72
47.236.149.107,2053,2053,true,SIN,Asia Pacific,Singapore,100,2.71
47.236.163.221,8880,8880,false,SIN,Asia Pacific,Singapore,92,2.70
47.236.145.180,8443,8443,true,SIN,Asia Pacific,Singapore,97,2.68
47.236.144.196,2095,2095,false,SIN,Asia Pacific,Singapore,101,2.68
47.236.173.200,8443,8443,true,SIN,Asia Pacific,Singapore,87,2.68
47.236.83.196,8880,8880,false,SIN,Asia Pacific,Singapore,103,2.67
8.222.140.185,2083,2083,true,SIN,Asia Pacific,Singapore,104,2.67
47.236.19.51,2087,2087,true,SIN,Asia Pacific,Singapore,90,2.67
8.222.159.252,2052,2052,false,SIN,Asia Pacific,Singapore,87,2.67
8.222.168.234,8080,8080,false,SIN,Asia Pacific,Singapore,100,2.66
8.222.129.32,2086,2086,false,SIN,Asia Pacific,Singapore,99,2.65
8.219.153.44,2096,2096,true,SIN,Asia Pacific,Singapore,95,2.64
8.222.229.102,8443,8443,true,SIN,Asia Pacific,Singapore,100,2.64
8.219.90.32,2053,2053,true,SIN,Asia Pacific,Singapore,95,2.62
8.219.209.14,80,80,false,HKG,Asia Pacific,Hong Kong,0,2.62
8.219.110.88,8880,8880,false,SIN,Asia Pacific,Singapore,107,2.62
8.222.153.11,8880,8880,false,SIN,Asia Pacific,Singapore,177,2.61
47.236.145.180,80,80,false,HKG,Asia Pacific,Hong Kong,0,2.60
8.219.3.53,2083,2083,true,SIN,Asia Pacific,Singapore,94,2.60
47.245.114.163,2087,2087,true,SIN,Asia Pacific,Singapore,101,2.59
8.219.210.64,8443,8443,true,SIN,Asia Pacific,Singapore,91,2.59
8.219.58.64,2086,2086,false,SIN,Asia Pacific,Singapore,100,2.59
47.236.169.141,2096,2096,true,SIN,Asia Pacific,Singapore,105,2.56
8.222.131.102,2086,2086,false,SIN,Asia Pacific,Singapore,108,2.56
47.236.87.246,8080,8080,false,SIN,Asia Pacific,Singapore,102,2.56
213.35.98.197,2095,2095,false,SIN,Asia Pacific,Singapore,99,2.55
8.222.154.50,8880,8880,false,SIN,Asia Pacific,Singapore,93,2.55
8.219.153.44,8443,8443,true,SIN,Asia Pacific,Singapore,92,2.54
47.236.163.221,2053,2053,true,SIN,Asia Pacific,Singapore,122,2.54
8.219.103.57,2096,2096,true,SIN,Asia Pacific,Singapore,148,2.54
47.236.166.184,2096,2096,true,SIN,Asia Pacific,Singapore,99,2.53
8.222.190.225,2096,2096,true,SIN,Asia Pacific,Singapore,136,2.53
138.2.104.2,8443,8443,true,SIN,Asia Pacific,Singapore,253,2.53
8.219.99.169,8443,8443,true,SIN,Asia Pacific,Singapore,93,2.52
8.222.131.102,2087,2087,true,SIN,Asia Pacific,Singapore,98,2.52
8.219.222.98,8880,8880,false,SIN,Asia Pacific,Singapore,95,2.51
8.219.152.195,8880,8880,false,SIN,Asia Pacific,Singapore,90,2.51
8.222.128.131,2052,2052,false,SIN,Asia Pacific,Singapore,121,2.50
8.222.244.192,8880,8880,false,SIN,Asia Pacific,Singapore,93,2.50
47.236.96.141,8080,8080,false,SIN,Asia Pacific,Singapore,108,2.50
8.219.253.18,2095,2095,false,SIN,Asia Pacific,Singapore,90,2.50
34.65.97.237,443,443,true,HKG,Asia Pacific,Hong Kong,0,2.49
47.236.119.253,2086,2086,false,SIN,Asia Pacific,Singapore,98,2.48
8.222.137.166,2053,2053,true,SIN,Asia Pacific,Singapore,95,2.47
8.219.153.44,8880,8880,false,SIN,Asia Pacific,Singapore,132,2.47
47.236.4.129,8880,8880,false,SIN,Asia Pacific,Singapore,95,2.46
8.222.137.192,8443,8443,true,SIN,Asia Pacific,Singapore,98,2.46
47.236.169.236,8443,8443,true,SIN,Asia Pacific,Singapore,95,2.46
47.236.5.223,2086,2086,false,SIN,Asia Pacific,Singapore,95,2.45
8.222.187.4,8880,8880,false,SIN,Asia Pacific,Singapore,88,2.45
47.236.121.23,8880,8880,false,SIN,Asia Pacific,Singapore,103,2.45
8.222.167.8,2052,2052,false,SIN,Asia Pacific,Singapore,99,2.44
8.222.169.182,2086,2086,false,SIN,Asia Pacific,Singapore,97,2.42
8.219.83.201,8080,8080,false,SIN,Asia Pacific,Singapore,92,2.42
8.222.155.242,2087,2087,true,SIN,Asia Pacific,Singapore,94,2.41
8.219.210.93,8080,8080,false,SIN,Asia Pacific,Singapore,96,2.41
8.222.145.110,2096,2096,true,SIN,Asia Pacific,Singapore,107,2.41
47.236.169.15,2096,2096,true,SIN,Asia Pacific,Singapore,94,2.41
34.120.80.23,80,80,false,HKG,Asia Pacific,Hong Kong,1,2.40
47.236.172.95,8880,8880,false,SIN,Asia Pacific,Singapore,96,2.40
8.219.77.222,2087,2087,true,SIN,Asia Pacific,Singapore,92,2.40
8.219.103.57,2083,2083,true,SIN,Asia Pacific,Singapore,98,2.40
47.236.166.184,2052,2052,false,SIN,Asia Pacific,Singapore,107,2.39
8.222.244.192,2083,2083,true,SIN,Asia Pacific,Singapore,94,2.39
8.219.77.222,2053,2053,true,SIN,Asia Pacific,Singapore,92,2.39
8.222.187.4,8443,8443,true,SIN,Asia Pacific,Singapore,92,2.39
8.219.153.44,2082,2082,false,SIN,Asia Pacific,Singapore,95,2.38
8.219.145.245,2095,2095,false,SIN,Asia Pacific,Singapore,91,2.38
8.219.83.201,2052,2052,false,SIN,Asia Pacific,Singapore,96,2.37
47.236.165.25,80,80,false,HKG,Asia Pacific,Hong Kong,1,2.37
8.219.139.13,2086,2086,false,SIN,Asia Pacific,Singapore,94,2.37
8.219.142.191,2083,2083,true,SIN,Asia Pacific,Singapore,98,2.36
8.222.129.32,2087,2087,true,SIN,Asia Pacific,Singapore,103,2.36
47.236.145.180,2083,2083,true,SIN,Asia Pacific,Singapore,91,2.36
8.222.219.34,8880,8880,false,SIN,Asia Pacific,Singapore,141,2.36
8.222.219.252,2083,2083,true,SIN,Asia Pacific,Singapore,107,2.35
8.219.90.32,2087,2087,true,SIN,Asia Pacific,Singapore,95,2.35
47.236.174.206,2082,2082,false,SIN,Asia Pacific,Singapore,99,2.35
8.219.184.92,2053,2053,true,SIN,Asia Pacific,Singapore,95,2.35
47.236.75.113,2096,2096,true,SIN,Asia Pacific,Singapore,96,2.34
47.236.83.239,8443,8443,true,SIN,Asia Pacific,Singapore,95,2.34
47.236.116.182,2087,2087,true,SIN,Asia Pacific,Singapore,132,2.34
8.222.150.197,2082,2082,false,SIN,Asia Pacific,Singapore,94,2.34
8.219.204.120,2052,2052,false,SIN,Asia Pacific,Singapore,104,2.34
8.219.103.57,8443,8443,true,SIN,Asia Pacific,Singapore,96,2.34
8.222.193.65,8080,8080,false,SIN,Asia Pacific,Singapore,88,2.33
8.219.204.120,2053,2053,true,SIN,Asia Pacific,Singapore,90,2.33
47.236.97.90,2087,2087,true,SIN,Asia Pacific,Singapore,99,2.33
8.222.180.86,2082,2082,false,SIN,Asia Pacific,Singapore,96,2.33
8.222.155.242,8080,8080,false,SIN,Asia Pacific,Singapore,124,2.32
8.222.169.182,8880,8880,false,SIN,Asia Pacific,Singapore,137,2.31
8.219.153.44,2086,2086,false,SIN,Asia Pacific,Singapore,97,2.31
8.219.77.91,2086,2086,false,SIN,Asia Pacific,Singapore,96,2.31
47.236.94.113,2053,2053,true,SIN,Asia Pacific,Singapore,103,2.30
47.236.145.85,2086,2086,false,SIN,Asia Pacific,Singapore,126,2.29
8.222.229.22,8080,8080,false,SIN,Asia Pacific,Singapore,104,2.27
47.236.7.13,8443,8443,true,SIN,Asia Pacific,Singapore,147,2.27
8.219.245.187,2053,2053,true,SIN,Asia Pacific,Singapore,132,2.26
213.35.98.197,8443,8443,true,SIN,Asia Pacific,Singapore,259,2.26
8.219.77.222,2052,2052,false,SIN,Asia Pacific,Singapore,92,2.25
8.222.212.116,2095,2095,false,SIN,Asia Pacific,Singapore,107,2.25
47.236.82.218,2096,2096,true,SIN,Asia Pacific,Singapore,94,2.24
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,94,2.24
8.222.240.47,2052,2052,false,SIN,Asia Pacific,Singapore,92,2.24
8.219.161.129,2095,2095,false,SIN,Asia Pacific,Singapore,93,2.24
47.236.71.226,8080,8080,false,SIN,Asia Pacific,Singapore,91,2.24
47.236.150.109,8080,8080,false,SIN,Asia Pacific,Singapore,93,2.23
8.219.222.98,2082,2082,false,SIN,Asia Pacific,Singapore,93,2.23
8.222.144.50,2087,2087,true,SIN,Asia Pacific,Singapore,149,2.23
8.222.159.252,2087,2087,true,SIN,Asia Pacific,Singapore,144,2.22
8.219.210.64,2052,2052,false,SIN,Asia Pacific,Singapore,90,2.22
47.236.164.215,8080,8080,false,SIN,Asia Pacific,Singapore,105,2.22
8.222.144.50,2095,2095,false,SIN,Asia Pacific,Singapore,135,2.22
47.236.147.146,2096,2096,true,SIN,Asia Pacific,Singapore,101,2.21
213.35.98.197,8080,8080,false,SIN,Asia Pacific,Singapore,246,2.21
47.236.168.17,2052,2052,false,SIN,Asia Pacific,Singapore,94,2.20
47.236.94.109,2087,2087,true,SIN,Asia Pacific,Singapore,97,2.20
47.236.117.48,2086,2086,false,SIN,Asia Pacific,Singapore,87,2.20
47.236.166.184,8443,8443,true,SIN,Asia Pacific,Singapore,103,2.19
8.222.138.164,2083,2083,true,SIN,Asia Pacific,Singapore,87,2.19
8.219.153.44,2083,2083,true,SIN,Asia Pacific,Singapore,90,2.18
8.219.249.38,2087,2087,true,SIN,Asia Pacific,Singapore,96,2.18
8.219.90.32,2052,2052,false,SIN,Asia Pacific,Singapore,95,2.18
8.222.168.24,8880,8880,false,SIN,Asia Pacific,Singapore,87,2.17
47.236.144.196,8880,8880,false,SIN,Asia Pacific,Singapore,99,2.17
8.222.133.247,8880,8880,false,SIN,Asia Pacific,Singapore,98,2.17
47.236.172.41,2052,2052,false,SIN,Asia Pacific,Singapore,110,2.17
8.222.131.102,2083,2083,true,SIN,Asia Pacific,Singapore,101,2.16
8.222.169.182,2053,2053,true,SIN,Asia Pacific,Singapore,100,2.16
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,97,2.16
8.219.213.133,2083,2083,true,SIN,Asia Pacific,Singapore,92,2.16
47.236.29.235,2082,2082,false,SIN,Asia Pacific,Singapore,97,2.16
47.236.87.206,2082,2082,false,SIN,Asia Pacific,Singapore,92,2.16
8.222.168.234,2095,2095,false,SIN,Asia Pacific,Singapore,100,2.16
47.236.148.174,2086,2086,false,SIN,Asia Pacific,Singapore,96,2.15
8.222.227.191,2087,2087,true,SIN,Asia Pacific,Singapore,98,2.15
8.222.229.102,8080,8080,false,SIN,Asia Pacific,Singapore,102,2.15
8.219.228.157,2086,2086,false,SIN,Asia Pacific,Singapore,98,2.15
47.236.145.85,2087,2087,true,SIN,Asia Pacific,Singapore,96,2.15
8.219.174.213,2083,2083,true,SIN,Asia Pacific,Singapore,104,2.14
8.219.40.37,2053,2053,true,SIN,Asia Pacific,Singapore,96,2.13
47.236.121.7,8080,8080,false,SIN,Asia Pacific,Singapore,95,2.13
8.219.161.129,2052,2052,false,SIN,Asia Pacific,Singapore,89,2.12
8.222.130.137,2086,2086,false,SIN,Asia Pacific,Singapore,89,2.12
47.236.171.205,2052,2052,false,SIN,Asia Pacific,Singapore,98,2.11
8.222.138.164,2052,2052,false,SIN,Asia Pacific,Singapore,93,2.11
8.219.210.64,2086,2086,false,SIN,Asia Pacific,Singapore,86,2.11
8.219.228.157,8080,8080,false,SIN,Asia Pacific,Singapore,96,2.11
47.236.65.177,8080,8080,false,SIN,Asia Pacific,Singapore,98,2.10
47.236.97.90,2083,2083,true,SIN,Asia Pacific,Singapore,99,2.10
47.236.170.54,2052,2052,false,SIN,Asia Pacific,Singapore,90,2.09
47.236.163.221,8080,8080,false,SIN,Asia Pacific,Singapore,98,2.09
47.236.104.11,2053,2053,true,SIN,Asia Pacific,Singapore,94,2.09
8.222.136.196,8443,8443,true,SIN,Asia Pacific,Singapore,94,2.09
47.236.97.90,2096,2096,true,SIN,Asia Pacific,Singapore,96,2.09
47.236.83.239,8080,8080,false,SIN,Asia Pacific,Singapore,94,2.09
8.222.190.225,8443,8443,true,SIN,Asia Pacific,Singapore,149,2.09
8.222.168.234,2087,2087,true,SIN,Asia Pacific,Singapore,97,2.09
8.219.145.245,8080,8080,false,SIN,Asia Pacific,Singapore,93,2.08
8.222.155.242,2052,2052,false,SIN,Asia Pacific,Singapore,98,2.08
47.236.171.205,8880,8880,false,SIN,Asia Pacific,Singapore,143,2.08
47.236.15.73,2052,2052,false,SIN,Asia Pacific,Singapore,91,2.07
8.222.229.102,2082,2082,false,SIN,Asia Pacific,Singapore,105,2.07
8.219.253.114,2087,2087,true,SIN,Asia Pacific,Singapore,102,2.07
8.219.99.169,2087,2087,true,SIN,Asia Pacific,Singapore,96,2.07
47.236.23.135,2095,2095,false,SIN,Asia Pacific,Singapore,106,2.07
8.222.154.227,8443,8443,true,SIN,Asia Pacific,Singapore,104,2.05
8.219.210.93,8443,8443,true,SIN,Asia Pacific,Singapore,105,2.05
8.219.253.18,2087,2087,true,SIN,Asia Pacific,Singapore,92,2.05
8.219.99.169,2082,2082,false,SIN,Asia Pacific,Singapore,97,2.05
8.219.70.117,2095,2095,false,SIN,Asia Pacific,Singapore,94,2.04
8.219.58.64,8880,8880,false,SIN,Asia Pacific,Singapore,149,2.04
47.236.75.113,2095,2095,false,SIN,Asia Pacific,Singapore,94,2.04
47.236.87.246,8880,8880,false,SIN,Asia Pacific,Singapore,94,2.04
47.236.88.181,8080,8080,false,SIN,Asia Pacific,Singapore,95,2.04
8.222.138.164,2053,2053,true,SIN,Asia Pacific,Singapore,91,2.04
8.222.168.24,2096,2096,true,SIN,Asia Pacific,Singapore,91,2.04
8.219.152.195,2053,2053,true,SIN,Asia Pacific,Singapore,89,2.03
47.236.97.90,2053,2053,true,SIN,Asia Pacific,Singapore,101,2.03
47.236.176.144,2095,2095,false,SIN,Asia Pacific,Singapore,91,2.03
47.236.94.113,2052,2052,false,SIN,Asia Pacific,Singapore,108,2.03
47.236.144.48,8880,8880,false,SIN,Asia Pacific,Singapore,96,2.03
8.219.145.245,2083,2083,true,SIN,Asia Pacific,Singapore,99,2.03
47.236.171.205,2096,2096,true,SIN,Asia Pacific,Singapore,150,2.03
47.236.145.180,8080,8080,false,SIN,Asia Pacific,Singapore,140,2.02
8.219.173.233,2052,2052,false,SIN,Asia Pacific,Singapore,105,2.02
47.236.148.174,2083,2083,true,SIN,Asia Pacific,Singapore,100,2.02
8.219.206.180,2095,2095,false,SIN,Asia Pacific,Singapore,92,2.02
8.219.139.13,2087,2087,true,SIN,Asia Pacific,Singapore,130,2.02
8.222.136.247,2096,2096,true,SIN,Asia Pacific,Singapore,97,2.02
8.219.142.191,2096,2096,true,SIN,Asia Pacific,Singapore,128,2.02
8.219.175.127,8443,8443,true,SIN,Asia Pacific,Singapore,94,2.01
47.236.169.141,8443,8443,true,SIN,Asia Pacific,Singapore,102,2.01
8.219.134.117,2086,2086,false,SIN,Asia Pacific,Singapore,97,2.01
47.236.114.167,2052,2052,false,SIN,Asia Pacific,Singapore,100,2.00
47.236.172.95,2095,2095,false,SIN,Asia Pacific,Singapore,97,2.00
47.236.149.107,8080,8080,false,SIN,Asia Pacific,Singapore,99,2.00
8.219.161.129,8443,8443,true,SIN,Asia Pacific,Singapore,90,1.99
8.219.184.92,2083,2083,true,SIN,Asia Pacific,Singapore,91,1.99
47.236.117.48,2096,2096,true,SIN,Asia Pacific,Singapore,99,1.99
8.219.222.8,2087,2087,true,SIN,Asia Pacific,Singapore,99,1.99
8.219.209.14,2086,2086,false,SIN,Asia Pacific,Singapore,98,1.99
8.222.159.252,2083,2083,true,SIN,Asia Pacific,Singapore,88,1.97
47.236.173.200,2053,2053,true,HKG,Asia Pacific,Hong Kong,135,1.97
8.222.211.124,2096,2096,true,SIN,Asia Pacific,Singapore,94,1.95
47.236.168.17,2095,2095,false,SIN,Asia Pacific,Singapore,94,1.95
47.236.173.200,8080,8080,false,SIN,Asia Pacific,Singapore,87,1.95
8.219.210.64,2086,2086,false,SIN,Asia Pacific,Singapore,90,1.95
8.219.210.93,2095,2095,false,SIN,Asia Pacific,Singapore,94,1.94
8.219.3.53,8443,8443,true,SIN,Asia Pacific,Singapore,87,1.94
8.222.238.141,2082,2082,false,SIN,Asia Pacific,Singapore,100,1.94
8.219.40.37,8080,8080,false,SIN,Asia Pacific,Singapore,150,1.93
47.236.169.141,2087,2087,true,SIN,Asia Pacific,Singapore,104,1.93
8.222.248.188,8443,8443,true,SIN,Asia Pacific,Singapore,91,1.92
8.219.139.13,80,80,false,HKG,Asia Pacific,Hong Kong,0,1.92
47.236.29.235,2053,2053,true,SIN,Asia Pacific,Singapore,112,1.92
47.236.7.206,8880,8880,false,SIN,Asia Pacific,Singapore,96,1.92
8.219.253.18,8443,8443,true,SIN,Asia Pacific,Singapore,91,1.91
47.236.103.153,2096,2096,true,SIN,Asia Pacific,Singapore,92,1.91
8.222.150.197,2086,2086,false,SIN,Asia Pacific,Singapore,93,1.91
8.219.77.91,2095,2095,false,SIN,Asia Pacific,Singapore,89,1.91
47.236.96.141,2087,2087,true,SIN,Asia Pacific,Singapore,101,1.90
8.219.173.239,2095,2095,false,SIN,Asia Pacific,Singapore,93,1.90
8.219.222.98,2052,2052,false,SIN,Asia Pacific,Singapore,91,1.89
8.219.147.58,2086,2086,false,SIN,Asia Pacific,Singapore,95,1.89
47.236.161.155,2096,2096,true,SIN,Asia Pacific,Singapore,98,1.89
8.219.147.58,8880,8880,false,SIN,Asia Pacific,Singapore,98,1.88
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,96,1.88
47.236.121.7,2052,2052,false,SIN,Asia Pacific,Singapore,103,1.88
8.222.130.137,2052,2052,false,HKG,Asia Pacific,Hong Kong,168,1.88
47.236.164.215,2096,2096,true,SIN,Asia Pacific,Singapore,100,1.87
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,107,1.87
47.236.166.131,2086,2086,false,SIN,Asia Pacific,Singapore,98,1.86
47.236.184.14,2087,2087,true,SIN,Asia Pacific,Singapore,100,1.86
47.236.168.17,2053,2053,true,SIN,Asia Pacific,Singapore,94,1.86
47.245.87.167,2087,2087,true,SIN,Asia Pacific,Singapore,101,1.86
47.236.121.23,2083,2083,true,SIN,Asia Pacific,Singapore,95,1.86
8.219.210.64,2053,2053,true,SIN,Asia Pacific,Singapore,98,1.86
47.236.79.77,8080,8080,false,SIN,Asia Pacific,Singapore,91,1.84
47.236.116.208,8443,8443,true,SIN,Asia Pacific,Singapore,98,1.84
8.219.222.8,2086,2086,false,SIN,Asia Pacific,Singapore,101,1.84
8.222.221.197,2087,2087,true,SIN,Asia Pacific,Singapore,97,1.84
47.236.75.113,8880,8880,false,SIN,Asia Pacific,Singapore,93,1.84
8.222.154.227,8880,8880,false,SIN,Asia Pacific,Singapore,95,1.84
47.236.23.135,2083,2083,true,SIN,Asia Pacific,Singapore,95,1.83
47.236.99.131,2095,2095,false,SIN,Asia Pacific,Singapore,96,1.83
8.219.210.93,2087,2087,true,SIN,Asia Pacific,Singapore,102,1.83
8.222.167.147,2082,2082,false,SIN,Asia Pacific,Singapore,101,1.83
8.219.101.138,8080,8080,false,SIN,Asia Pacific,Singapore,93,1.83
47.236.19.51,2082,2082,false,SIN,Asia Pacific,Singapore,94,1.82
8.222.244.192,2087,2087,true,SIN,Asia Pacific,Singapore,94,1.82
8.219.142.191,2052,2052,false,SIN,Asia Pacific,Singapore,98,1.81
47.236.148.174,2087,2087,true,SIN,Asia Pacific,Singapore,105,1.81
47.236.116.208,2083,2083,true,SIN,Asia Pacific,Singapore,97,1.81
47.236.114.167,2087,2087,true,SIN,Asia Pacific,Singapore,147,1.81
47.236.7.206,2083,2083,true,SIN,Asia Pacific,Singapore,95,1.80
8.222.128.131,2096,2096,true,SIN,Asia Pacific,Singapore,88,1.80
8.222.224.162,2095,2095,false,SIN,Asia Pacific,Singapore,98,1.79
8.219.83.201,2083,2083,true,HKG,Asia Pacific,Hong Kong,124,1.79
8.222.188.56,8080,8080,false,SIN,Asia Pacific,Singapore,99,1.79
8.219.101.138,2083,2083,true,SIN,Asia Pacific,Singapore,95,1.79
8.222.154.227,8080,8080,false,SIN,Asia Pacific,Singapore,97,1.79
47.236.168.17,8443,8443,true,SIN,Asia Pacific,Singapore,97,1.79
8.219.147.58,8443,8443,true,SIN,Asia Pacific,Singapore,101,1.79
47.236.171.205,2082,2082,false,SIN,Asia Pacific,Singapore,104,1.78
47.236.150.13,2095,2095,false,SIN,Asia Pacific,Singapore,96,1.78
47.236.83.196,2083,2083,true,SIN,Asia Pacific,Singapore,140,1.78
8.219.204.120,2086,2086,false,SIN,Asia Pacific,Singapore,94,1.78
47.236.164.215,2053,2053,true,SIN,Asia Pacific,Singapore,148,1.77
47.236.144.156,2087,2087,true,SIN,Asia Pacific,Singapore,94,1.77
47.236.174.206,2096,2096,true,SIN,Asia Pacific,Singapore,100,1.77
8.222.137.192,8080,8080,false,SIN,Asia Pacific,Singapore,96,1.77
8.222.159.252,8443,8443,true,SIN,Asia Pacific,Singapore,102,1.77
8.222.182.10,8880,8880,false,SIN,Asia Pacific,Singapore,93,1.76
47.236.171.205,8443,8443,true,SIN,Asia Pacific,Singapore,150,1.76
47.236.169.164,2083,2083,true,SIN,Asia Pacific,Singapore,96,1.76
8.219.134.117,2095,2095,false,SIN,Asia Pacific,Singapore,100,1.76
8.222.249.190,8880,8880,false,SIN,Asia Pacific,Singapore,113,1.76
8.219.173.239,2082,2082,false,SIN,Asia Pacific,Singapore,95,1.76
47.236.117.48,2083,2083,true,SIN,Asia Pacific,Singapore,91,1.76
8.219.103.57,2052,2052,false,SIN,Asia Pacific,Singapore,150,1.75
47.236.170.54,8080,8080,false,SIN,Asia Pacific,Singapore,91,1.75
8.222.144.219,2052,2052,false,SIN,Asia Pacific,Singapore,97,1.75
47.245.114.163,8443,8443,true,SIN,Asia Pacific,Singapore,101,1.74
47.236.65.177,2082,2082,false,HKG,Asia Pacific,Hong Kong,175,1.74
8.219.173.233,2087,2087,true,SIN,Asia Pacific,Singapore,96,1.73
8.222.214.231,8880,8880,false,SIN,Asia Pacific,Singapore,98,1.73
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,127,1.72
47.236.94.109,8880,8880,false,SIN,Asia Pacific,Singapore,100,1.72
8.222.248.188,2087,2087,true,SIN,Asia Pacific,Singapore,110,1.72
8.219.58.64,2053,2053,true,SIN,Asia Pacific,Singapore,105,1.72
47.236.87.246,2086,2086,false,SIN,Asia Pacific,Singapore,90,1.72
8.219.222.98,8880,8880,false,SIN,Asia Pacific,Singapore,97,1.71
8.219.134.117,8080,8080,false,SIN,Asia Pacific,Singapore,93,1.71
47.236.174.206,8443,8443,true,SIN,Asia Pacific,Singapore,103,1.71
8.219.174.213,2095,2095,false,SIN,Asia Pacific,Singapore,94,1.71
8.222.160.61,2096,2096,true,SIN,Asia Pacific,Singapore,94,1.70
47.236.29.235,2095,2095,false,SIN,Asia Pacific,Singapore,102,1.70
47.236.145.85,2083,2083,true,SIN,Asia Pacific,Singapore,103,1.69
47.236.144.208,2082,2082,false,SIN,Asia Pacific,Singapore,111,1.69
47.236.169.164,8443,8443,true,SIN,Asia Pacific,Singapore,96,1.68
47.236.29.235,8443,8443,true,SIN,Asia Pacific,Singapore,105,1.68
47.236.121.23,2087,2087,true,SIN,Asia Pacific,Singapore,96,1.67
8.219.204.120,2095,2095,false,SIN,Asia Pacific,Singapore,91,1.67
8.222.229.102,2096,2096,true,SIN,Asia Pacific,Singapore,103,1.67
47.236.88.181,2095,2095,false,SIN,Asia Pacific,Singapore,98,1.67
47.236.75.113,2053,2053,true,SIN,Asia Pacific,Singapore,94,1.67
47.236.172.41,2095,2095,false,SIN,Asia Pacific,Singapore,95,1.67
8.219.70.117,2086,2086,false,SIN,Asia Pacific,Singapore,97,1.67
47.236.79.77,2052,2052,false,SIN,Asia Pacific,Singapore,89,1.66
47.245.87.167,2096,2096,true,SIN,Asia Pacific,Singapore,102,1.66
47.236.104.11,2096,2096,true,SIN,Asia Pacific,Singapore,89,1.66
8.222.188.56,2083,2083,true,SIN,Asia Pacific,Singapore,99,1.66
47.236.103.153,2082,2082,false,SIN,Asia Pacific,Singapore,92,1.66
8.219.173.239,8443,8443,true,SIN,Asia Pacific,Singapore,96,1.65
8.219.99.169,2083,2083,true,SIN,Asia Pacific,Singapore,93,1.65
47.236.164.215,2087,2087,true,SIN,Asia Pacific,Singapore,106,1.65
47.236.166.184,2087,2087,true,SIN,Asia Pacific,Singapore,113,1.65
8.222.146.222,8443,8443,true,SIN,Asia Pacific,Singapore,98,1.65
8.219.145.245,8080,8080,false,HKG,Asia Pacific,Hong Kong,171,1.64
8.219.103.57,80,80,false,HKG,Asia Pacific,Hong Kong,6,1.64
8.222.252.150,2082,2082,false,SIN,Asia Pacific,Singapore,95,1.64
8.219.174.213,2086,2086,false,SIN,Asia Pacific,Singapore,140,1.64
8.219.204.120,8080,8080,false,SIN,Asia Pacific,Singapore,92,1.64
8.222.227.191,2086,2086,false,SIN,Asia Pacific,Singapore,98,1.64
47.236.147.146,2087,2087,true,SIN,Asia Pacific,Singapore,95,1.64
47.236.29.235,2052,2052,false,SIN,Asia Pacific,Singapore,94,1.62
47.236.116.208,2082,2082,false,SIN,Asia Pacific,Singapore,96,1.62
8.222.147.203,2095,2095,false,SIN,Asia Pacific,Singapore,138,1.62
47.236.94.113,2087,2087,true,SIN,Asia Pacific,Singapore,101,1.61
47.236.169.164,2052,2052,false,SIN,Asia Pacific,Singapore,94,1.61
47.236.166.184,2086,2086,false,SIN,Asia Pacific,Singapore,105,1.61
47.236.103.153,2053,2053,true,SIN,Asia Pacific,Singapore,92,1.61
8.222.255.15,2086,2086,false,SIN,Asia Pacific,Singapore,121,1.61
47.236.94.113,2086,2086,false,SIN,Asia Pacific,Singapore,96,1.60
8.222.240.47,2087,2087,true,SIN,Asia Pacific,Singapore,96,1.60
47.236.94.109,8443,8443,true,SIN,Asia Pacific,Singapore,99,1.59
8.222.255.15,8880,8880,false,HKG,Asia Pacific,Hong Kong,190,1.59
8.222.133.247,2096,2096,true,SIN,Asia Pacific,Singapore,99,1.59
47.236.87.246,2053,2053,true,SIN,Asia Pacific,Singapore,97,1.59
8.222.154.50,2087,2087,true,SIN,Asia Pacific,Singapore,99,1.58
47.236.87.206,2052,2052,false,SIN,Asia Pacific,Singapore,92,1.58
8.222.219.34,2053,2053,true,SIN,Asia Pacific,Singapore,97,1.58
