IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.87.167,2083,2083,true,SIN,Asia Pacific,Singapore,96,8.76
8.219.145.245,80,80,false,HKG,Asia Pacific,Hong Kong,0,8.70
8.222.213.221,443,443,true,HKG,Asia Pacific,Hong Kong,0,8.68
47.236.130.95,80,80,false,HKG,Asia Pacific,Hong Kong,0,8.64
47.236.121.7,2082,2082,false,SIN,Asia Pacific,Singapore,99,8.63
8.219.185.191,8880,8880,false,SIN,Asia Pacific,Singapore,104,8.62
8.219.110.88,80,80,false,HKG,Asia Pacific,Hong Kong,0,8.58
47.236.169.236,2096,2096,true,SIN,Asia Pacific,Singapore,96,8.31
8.222.159.252,8080,8080,false,SIN,Asia Pacific,Singapore,92,8.31
8.219.63.66,8080,8080,false,SIN,Asia Pacific,Singapore,103,8.26
8.219.184.92,80,80,false,HKG,Asia Pacific,Hong Kong,1,8.24
47.236.169.141,8080,8080,false,SIN,Asia Pacific,Singapore,100,8.20
8.219.79.74,80,80,false,HKG,Asia Pacific,Hong Kong,0,8.19
47.236.116.182,80,80,false,HKG,Asia Pacific,Hong Kong,3,8.18
8.219.101.138,80,80,false,HKG,Asia Pacific,Hong Kong,0,8.16
132.145.123.238,80,80,false,HKG,Asia Pacific,Hong Kong,0,8.10
8.219.40.37,2082,2082,false,SIN,Asia Pacific,Singapore,98,8.09
8.222.168.24,2087,2087,true,SIN,Asia Pacific,Singapore,93,8.07
8.222.238.141,8880,8880,false,SIN,Asia Pacific,Singapore,102,8.05
47.236.169.236,80,80,false,HKG,Asia Pacific,Hong Kong,0,7.98
8.222.174.108,2087,2087,true,SIN,Asia Pacific,Singapore,105,7.97
8.222.190.225,2083,2083,true,SIN,Asia Pacific,Singapore,100,7.87
8.219.248.170,80,80,false,HKG,Asia Pacific,Hong Kong,0,7.87
8.219.134.117,80,80,false,HKG,Asia Pacific,Hong Kong,1,7.82
8.219.249.38,8443,8443,true,SIN,Asia Pacific,Singapore,94,7.81
8.222.214.231,80,80,false,HKG,Asia Pacific,Hong Kong,5,7.74
47.236.121.7,443,443,true,HKG,Asia Pacific,Hong Kong,0,7.73
